Name,Year Founded,Age,Industry 1,Industry 2,R&D Origin,Active Patents,Product Type 1,Product Type 2,Product Type 3,Number of Founders,Number of Technical Founders,Technicality Percentage,Founder 1 Experience,Founder 2 Experience,Founder 3 Experience,Founder 1 Background,Founder 2 Background,Founder 3 Background,Founder 1 Education,Founder 2 Education,Founder 3 Education,Scalability Index,Target Customers 1,Target Customers 2,Target Customers 3,Revenue Model 1,Revenue Model 2,Morality Score,"""Wait What"" Score",Problem Urgency Score,VC Funding,Grant Funding,Debt Financing,Preseed (Accelerator),Seed,Series A,Series B,Series C,Series D,Series E,Series F,Series G+,Valuation Multiple,Exit?,Year Exited,Exit Valuation,Exit Multiple,YTD Funding,YTD Valuation,YTD Multiple,Post-Series B?,Lux Partner,Notes,
Blackrock Neurotech,2008,14,NeuroTech,HealthTech,Academia,0,Hardware,Service,,2,1,0.500,Repeat founders,Repeat founders,,Academia background,Startup background,,Faculty,Master's,,6,Businesses,Consumers,,Unit Sale,,10,6,7,10,3.34,2.22,,,40,,,,,,,1.00,Didn't Exit,,,,10,40,1.00,,,University of Utah Nanofabrication Laboratory spinout,
NextMind,2017,5,NeuroTech,AI,Academia,1,Hardware,Software,,3,2,0.667,First time founders,First time founders,First time founders,Academia background,Academia background,Academia background,Faculty,Postdoc,Master's,7,Consumers,,,Unit Sale,,5,9,3,4.46,1,0,,12.33,,,,,,,,1.00,M&A,2022,,,4.46,12.33,1.00,,,Ecole Normale Superieure Brain and Consciousness Lab spinout,
Rune Labs,2018,4,NeuroTech,,Other,0,Software,Data,,1,1,1.000,Repeat founders,,,Big tech background,,,PhD,,,5,Businesses,,,Subscription,,6,3,5,30.1,0,0,,23.31,102.8,,,,,,,4.41,Didn't Exit,,,,30.1,102.8,4.41,,,,
BioSerenity,2013,9,HealthTech,NeuroTech,Other,11,Hardware,Service,,1,1,1.000,First time founders,,,Big tech background,,,Master's,,,4,Consumers,,,Unit Sale,,6,2,5,71.17,0,0,,12.28,46.37,112.53,,,,,,9.16,Didn't Exit,,,,71.17,112.53,9.16,Yes,,,
Thync,2011,11,NeuroTech,,Academia,11,Hardware,,,4,3,0.750,First time founders,First time founders,Repeat founders,Big tech background,Big tech background,Academia background,Master's,Bachlor's,Faculty,7,Consumers,,,Unit Sale,,6,8,5,29.8,1.72,0,,7,16,37.25,75.53,,,,,10.79,Didn't Exit,,,,29.8,75.53,10.79,Yes,,Arizona State University spinout,
BrainCo,2015,7,NeuroTech,,Academia,0,Hardware,Software,,1,1,1.000,First time founders,,,Academia background,,,PhD,,,5,Businesses,Consumers,,Unit Sale,,5,4,3,35.85,0,0,,21.4,205,,,,,,,9.58,Didn't Exit,,,,35.85,205,9.58,,,Harvard spinout,
MicroTransponder,2007,15,HealthTech,NeuroTech,Other,7,Service,,,2,1,0.500,Repeat founders,First time founders,,Startup background,Academia background,,Master's,PhD,,3,Businesses,,,Contracts,,10,6,7,97.55,12.03,0.19,,12.68,35,47.57,66.59,51.75,125,,,9.86,Didn't Exit,,,,97.55,125,9.86,Yes,,,
Neurable,2015,7,NeuroTech,VR/AR,Academia,2,Hardware,Software,,4,1,0.250,Repeat founders,First time founders,First time founders,Academia background,Other,Government background,PhD,Bachlor's,Master's,6,Consumers,,,Unit Sale,,6,9,4,13.9,0.6,0,,6.87,7.9,23.5,,,,,,3.42,Didn't Exit,,,,13.9,23.5,3.42,Yes,,University of Michigan’s Direct-Brain Interface Laboratoryn spinout,
Ceribell,2014,8,NeuroTech,HealthTech,Academia,5,Hardware,Software,,3,1,0.333,First time founders,First time founders,First time founders,Finance background,Academia background,Academia background,Postdoc,Faculty,Faculty,4,Businesses,,,Contracts,,10,3,7,112,0,0,,5.56,43.33,120,253,,,,,45.50,Didn't Exit,,,,112,253,45.50,Yes,,Stanford spinout,
Interaxon,2009,13,NeuroTech,,Other,9,Hardware,Software,,3,1,0.333,First time founders,Repeat founders,First time founders,Other,Other,Other,Bachlor's,Master's,High School,5,Consumers,,,Unit Sale,,6,7,4,29.82,0,0,,5.11,21.4,,,,,,,4.19,Didn't Exit,,,,29.82,21.4,4.19,,,,
